Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Gabon,GAB,43.5,43.5,43.5,43.2,40.6
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,"Gambia, The",GMB,292.1,283.2,283.2,275.4,63.3
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Georgia,GEO,15.3,16.5,16.5,16.4,16.4
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Germany,DEU,47,45.6,45.9,49.1,48.8
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Ghana,GHA,31.9,32.9,32.8,32.7,32.7
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Greece,GRC,46.7,45.9,44.1,44,50.7
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Greenland,GRL,..,..,..,..,..
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Grenada,GRD,45.3,45.3,45.3,45.3,45.3
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Guam,GUM,..,..,..,..,..
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Guatemala,GTM,40.9,40.9,40.9,40.9,39.9
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Guinea,GIN,87.8,91.2,91.2,68.3,68.3
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Guinea-Bissau,GNB,45.9,45.9,45.9,45.5,45.5
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Guyana,GUY,38.8,35.9,35.9,32,32.3
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Haiti,HTI,40.4,40.4,40.4,40.3,40.3
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Honduras,HND,43.5,43.1,39.5,42.6,41.8
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,"Hong Kong SAR, China",HKG,23,23,23,22.6,22.8
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Hungary,HUN,54.6,52,49.8,49.3,48
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Iceland,ISL,26.1,29.6,30.6,29.8,29.7
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,India,IND,..,..,..,60.8,60.6
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Indonesia,IDN,..,..,..,31.4,31.4
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,"Iran, Islamic Rep.",IRN,44.1,44.1,44.1,44.1,44.1
